Sex,Age,Height,Weight,NOC,Games,Sport,Medal
M,28.0,184.0,85.0,FIN,2014 Winter,Ice Hockey,Bronze
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Bronze
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,Bronze
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,Gold
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,Bronze
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Silver
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Bronze
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Silver
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,Gold
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,Gold
M,34.0,176.0,85.0,NOR,2006 Winter,Alpine Skiing,Gold
M,26.0,189.0,72.0,NED,1996 Summer,Rowing,Silver
F,23.0,182.0,64.0,NOR,1996 Summer,Football,Bronze
M,21.0,198.0,90.0,ITA,2016 Summer,Rowing,Bronze
M,30.0,194.0,87.0,ESP,2008 Summer,Fencing,Bronze
F,21.0,165.0,49.0,AZE,2016 Summer,Taekwondo,Bronze
F,22.0,179.0,80.0,RUS,2008 Summer,Athletics,Silver
M,28.0,180.0,83.0,BLR,2008 Summer,Canoeing,Gold
M,23.0,182.0,86.0,FRA,2008 Summer,Handball,Gold
M,27.0,182.0,86.0,FRA,2012 Summer,Handball,Gold
M,31.0,182.0,86.0,FRA,2016 Summer,Handball,Silver
M,22.0,185.0,82.0,CMR,2000 Summer,Football,Gold
M,22.0,186.0,83.0,ESP,1996 Summer,Water Polo,Gold
M,26.0,165.0,55.0,USA,2004 Summer,Wrestling,Silver
M,28.0,181.0,82.0,ESP,1980 Summer,Sailing,Gold
M,26.0,182.0,67.0,ESP,1984 Summer,Athletics,Bronze
F,21.0,163.0,60.0,RUS,2004 Summer,Cycling,Silver
M,38.0,190.0,85.0,FRA,2008 Summer,Handball,Gold
M,30.0,181.0,79.0,HUN,1992 Summer,Fencing,Silver
M,22.0,188.0,96.0,ITA,1988 Summer,Rowing,Gold
M,29.0,188.0,96.0,ITA,1996 Summer,Rowing,Gold
M,34.0,188.0,96.0,ITA,2000 Summer,Rowing,Gold
M,22.0,182.0,90.0,ITA,1984 Summer,Rowing,Gold
M,26.0,182.0,90.0,ITA,1988 Summer,Rowing,Gold
