Sex,Age,Height,Weight,NOC,Games,Sport,Medal
M,24.0,180.0,80.0,CHN,1992 Summer,Basketball,No_Medal
M,23.0,170.0,60.0,CHN,2012 Summer,Judo,No_Medal
F,21.0,185.0,82.0,NED,1988 Winter,Speed Skating,No_Medal
F,21.0,185.0,82.0,NED,1988 Winter,Speed Skating,No_Medal
F,25.0,185.0,82.0,NED,1992 Winter,Speed Skating,No_Medal
F,25.0,185.0,82.0,NED,1992 Winter,Speed Skating,No_Medal
F,27.0,185.0,82.0,NED,1994 Winter,Speed Skating,No_Medal
F,27.0,185.0,82.0,NED,1994 Winter,Speed Skating,No_Medal
M,31.0,188.0,75.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,188.0,75.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,188.0,75.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,188.0,75.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,33.0,188.0,75.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,188.0,75.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,188.0,75.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,188.0,75.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,31.0,183.0,72.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,183.0,72.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,183.0,72.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,31.0,183.0,72.0,USA,1992 Winter,Cross Country Skiing,No_Medal
M,33.0,183.0,72.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,183.0,72.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,183.0,72.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,33.0,183.0,72.0,USA,1994 Winter,Cross Country Skiing,No_Medal
M,26.0,186.0,96.0,FIN,2002 Winter,Ice Hockey,No_Medal
M,22.0,182.0,76.5,FIN,1980 Winter,Cross Country Skiing,No_Medal
M,31.0,172.0,70.0,FIN,2000 Summer,Badminton,No_Medal
F,30.0,159.0,55.5,FIN,1996 Summer,Sailing,No_Medal
F,34.0,159.0,55.5,FIN,2000 Summer,Sailing,No_Medal
F,32.0,171.0,65.0,FIN,1994 Winter,Biathlon,No_Medal
M,28.0,184.0,85.0,FIN,2014 Winter,Ice Hockey,Bronze
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Bronze
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,No_Medal
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,No_Medal
